model,dataset,layer,target,within_r2_natural,within_r2_balanced
base,SimpleMC,0,margin_logit,0.08496752222953274,0.0655350813617045
base,SimpleMC,1,margin_logit,0.11034529354225753,0.08493424057446264
base,SimpleMC,2,margin_logit,0.10329618444918254,0.06894953260125158
base,SimpleMC,3,margin_logit,0.09144433961416831,0.05716863975787623
base,SimpleMC,4,margin_logit,0.10380791583013449,0.09690026169846944
base,SimpleMC,5,margin_logit,0.1092090575334802,0.11467332109052886
base,SimpleMC,6,margin_logit,0.11754625355302728,0.13571591546225625
base,SimpleMC,7,margin_logit,0.12133161943280701,0.1263534314393534
base,SimpleMC,8,margin_logit,0.11691767698184019,0.11855258084088993
base,SimpleMC,9,margin_logit,0.12833882695928667,0.12704355138620604
base,SimpleMC,10,margin_logit,0.16345267253273144,0.15290175644689497
base,SimpleMC,11,margin_logit,0.19172670002287195,0.17881693359284923
base,SimpleMC,12,margin_logit,0.21703426636677936,0.20956229738466536
base,SimpleMC,13,margin_logit,0.3324004288179647,0.34397518028878926
base,SimpleMC,14,margin_logit,0.5392113590025487,0.5477193884033449
base,SimpleMC,15,margin_logit,0.567395385997151,0.5897087016752536
base,SimpleMC,16,margin_logit,0.5752118824907244,0.5932642012731468
base,SimpleMC,17,margin_logit,0.6928045501002134,0.7142824683451545
base,SimpleMC,18,margin_logit,0.6941121355633613,0.7052006021709819
base,SimpleMC,19,margin_logit,0.6981707895485811,0.709412490344471
base,SimpleMC,20,margin_logit,0.7185607267929384,0.7308236181852412
base,SimpleMC,21,margin_logit,0.7250068806054235,0.7204605621290565
base,SimpleMC,22,margin_logit,0.7363820987090666,0.7530569492449527
base,SimpleMC,23,margin_logit,0.7367651514663498,0.7596385828976678
base,SimpleMC,24,margin_logit,0.7365948111621461,0.7594518822185747
base,SimpleMC,25,margin_logit,0.7309519994737506,0.7589100628095259
base,SimpleMC,26,margin_logit,0.7388077730574045,0.7606947254869882
base,SimpleMC,27,margin_logit,0.7398849586349019,0.7598499820590268
base,SimpleMC,28,margin_logit,0.7426790814381619,0.7638102773208681
base,SimpleMC,29,margin_logit,0.734864266948547,0.7607573112713871
base,SimpleMC,30,margin_logit,0.7224355399240432,0.7414310152615369
base,SimpleMC,31,margin_logit,0.6431507038118309,0.6630128351841273
base,SimpleMC,0,margin_prob,0.1150989210329495,0.10070939599868989
base,SimpleMC,1,margin_prob,0.13885414536886065,0.10584711480314024
base,SimpleMC,2,margin_prob,0.13954461761073889,0.10318209066256989
base,SimpleMC,3,margin_prob,0.12868585456817738,0.09251268948332136
base,SimpleMC,4,margin_prob,0.13989999089518101,0.132279590150285
base,SimpleMC,5,margin_prob,0.1416881063019768,0.14494586363275952
base,SimpleMC,6,margin_prob,0.1526391027481928,0.15735509598916164
base,SimpleMC,7,margin_prob,0.14536534100643195,0.16108585401118058
base,SimpleMC,8,margin_prob,0.14014702809690538,0.15403756564123727
base,SimpleMC,9,margin_prob,0.16683312793207195,0.16355064532274044
base,SimpleMC,10,margin_prob,0.20072193931076676,0.18861437652794388
base,SimpleMC,11,margin_prob,0.22747370266542444,0.21654341415662548
base,SimpleMC,12,margin_prob,0.2653274447708016,0.25762183495596136
base,SimpleMC,13,margin_prob,0.3809834258563821,0.38841191383595786
base,SimpleMC,14,margin_prob,0.5853919076407741,0.5830432065714826
base,SimpleMC,15,margin_prob,0.6065587652830238,0.6104559656360123
base,SimpleMC,16,margin_prob,0.6223896631334593,0.6230736134997668
base,SimpleMC,17,margin_prob,0.7242506407161697,0.7345921534811781
base,SimpleMC,18,margin_prob,0.740376546292058,0.7440451833988977
base,SimpleMC,19,margin_prob,0.7465973507817676,0.7511877516113292
base,SimpleMC,20,margin_prob,0.7628414405448973,0.7595030038527243
base,SimpleMC,21,margin_prob,0.762945867938084,0.7622578940199354
base,SimpleMC,22,margin_prob,0.786400096955316,0.7906856991452427
base,SimpleMC,23,margin_prob,0.7889772693941014,0.796672304928823
base,SimpleMC,24,margin_prob,0.7901549555682104,0.7959593203314875
base,SimpleMC,25,margin_prob,0.7874461973019308,0.7942906302082261
base,SimpleMC,26,margin_prob,0.7880411923781229,0.7950258955242724
base,SimpleMC,27,margin_prob,0.7931660275695418,0.7982790141581871
base,SimpleMC,28,margin_prob,0.7933033626650021,0.7974614131565586
base,SimpleMC,29,margin_prob,0.791789124036909,0.7966485482923372
base,SimpleMC,30,margin_prob,0.7824690538463213,0.7774185759410561
base,SimpleMC,31,margin_prob,0.7195265866196684,0.7156618931045239
base,SimpleMC,0,entropy,0.13779435434688558,0.14219652646675662
base,SimpleMC,1,entropy,0.15892938758622366,0.14250654727629597
